vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
11.03340435,0.02074607,0.01583514,0.005002658727062302,0.13492233,0.0
11.03340435,0.02074607,0.01583514,0.005002658727062302,0.13492233,0.0
11.0279665,0.02075314,0.01576321,0.005002658727062302,0.14285715,0.0
11.01715088,0.02095647,0.01597344,0.005002658727062302,0.14285715,0.0
11.00683784,0.02097871,0.01598722,0.004978722473944764,0.14285715,0.0
11.00187683,0.02098244,0.01598213,0.00485904164108334,0.14285715,0.0
10.99222755,0.02070905,0.01554583,0.004499999142499066,0.14285715,0.0
10.98284531,0.0206065,0.01566437,0.0040691481009253105,0.14285715,0.0
10.98284531,0.0206065,0.01566437,0.0040691481009253105,0.14285715,0.0
10.97822285,0.02058384,0.01567739,0.003590424985842742,0.14285715,0.0
10.96909046,0.01838576,0.01385393,0.002992020605172488,0.14285715,0.0
10.96909046,0.01838576,0.01385393,0.002992020605172488,0.14285715,0.0
10.96006298,0.01622073,0.01230035,0.0025132974900899194,0.14285715,0.0
10.95557499,0.01609242,0.01186449,0.0021781910282600517,0.14285715,0.0
10.95557499,0.01609242,0.01186449,0.0021781910282600517,0.14285715,0.0
10.94665241,0.01205799,0.00888623,0.0019867016524091462,0.14285715,0.0
10.93777466,0.00983535,0.00735415,0.0017234039499318902,0.14285715,0.0
10.93335342,0.00954604,0.0070048,0.0016755316600599464,0.14285715,0.0
10.92453575,0.00739281,0.00570404,0.0015558508271985214,0.14285715,0.0
10.91575241,0.00688989,0.00529465,0.0015558508271985214,0.14285715,0.0
10.91137409,0.00676927,0.00525378,0.0015558508271985214,0.14285715,0.0
10.90264225,0.00623803,0.00482286,0.0015558508271985214,0.14285715,0.0
10.89394283,0.00618033,0.00477733,0.0015319145740809842,0.14285715,0.0
10.88960457,0.00618802,0.00477349,0.0014122337412195596,0.14285715,0.0
10.8809557,0.00625297,0.00479635,0.001220744365368654,0.14285715,0.0
10.87233734,0.00601952,0.00460481,0.0007659572870404921,0.14285715,0.0
10.87233734,0.00601952,0.00460481,0.0007659572870404921,0.14285715,0.0
10.86375332,0.00525664,0.00401837,0.00016755312273336853,0.14682455,0.0
10.85948563,0.00375302,0.00284091,-0.0007180849971685484,0.14682455,0.0
10.85530281,0.00314003,0.0020892,-0.0010292552058808787,0.14682455,0.0
10.84714985,-0.00131665,-0.00144691,-0.0015079783209634473,0.14682455,0.0
10.84315777,-0.00285161,-0.00267192,-0.0016515954069424089,0.15079196,0.0
10.83920765,-0.00438507,-0.00374204,-0.0016515954069424089,0.16269417,0.0
10.83533669,-0.00545436,-0.00447114,-0.0016515954069424089,0.17062898,0.0
10.83172989,-0.0063975,-0.00501435,-0.0016515954069424089,0.17062898,0.0
10.82559109,-0.00705069,-0.00523626,-0.0016515954069424089,0.1785638,0.0
10.82308388,-0.00723387,-0.00524977,-0.0016515954069424089,0.1785638,0.0
10.82093811,-0.00723721,-0.00521706,-0.0016515954069424089,0.18649861,0.0
